Mission : Impossible III,Mission : Impossible III,ABRAMS J. J.,2006 / USA, / PAR (Tom Cruise + Paula Wagner),esp.,"Tom Cruise, Philip Seymour Hoffman, Laurence Fishburne, Ving Rhames, Billy Crudup, Jonathan Rhys Meyers, Simon Pegg, Eddie Marsan, Jeff Chase, Michael Bery Jr., Paul Kelley, Greg Grunberg, Aaron Paul, ","Michelle Monaghan, Keri Russell, Maggie Q, Bahar Soomekh, Carla Gallo, Bellamy Young, ","Bon+. Produit bien formaté, avec un Cruise impressionnant d'investissement, un scenario gros mais bien mitonné, une réalisation musclée par les standards techniques (et pyrotechniques!) du temps.",Alex Kurtzman + Roberto Orci + J. J. Abrams
Super 8,Super 8,ABRAMS J. J.,2011 / USA, / PAR / Bad Robot - Amblin Ent. (Steven Spielberg + J.J. Abrams + Bryan Burk),"sc. fct., fantast.","Joel Coutney, Joel McKinnon Miller, Ryan Lee, Zach Mills, Riley Grifiths, Gabriel Basso, Kyle Chandler, Ron Eldard, AJ Michalka, Glynn Turman,","Elle Faning, Jessica Tuck, Britt Flatmo, ","B-. Le récit dégage du charme quand il concerne spécifiquement les enfants, utilisant habilement l'argument du film super 8, l'accident et les problématiques familiales ; il tourne mal quand il nous assaille avec le monstre, inattendu et superflu dans une telle aventure, et qui alourdit artificiellement le suspense. Les jeunes acteurs sont très bien, et on retrouve l'esthétique Spielbergienne, souvent habile, mais la fin a la bêtise naïve tout aussi typique de Spielberg, et contribue comme souvent à gâcher la fête.",J. J. Abrams
Star wars : the force awakens,Star wars : épisode VII - Le réveil de la Force,ABRAMS J. J.,2015 / USA, / Lucasfilm - Bad Robot - Truenorth Prod. (Kathleen Kennedy + J.J. Abrams + Bryan Burk),"sc. fct., fantast.","Harrison Ford, Oscar Isaac, Mark Hamill, John Boyega, Adam Driver, Peter Mayhew, Domhnall Gleeson, Andy Serkis, Simon Pegg, Max von Sydow, Anthony Daniels, Kenny Baker, Billie Lourd, Greg Grunberg, Ken Leung, Miltos Yerolemou, Pip Andersen, Dixie Arnold, Warwick Davis, Iko Uwais, Yayan RuDaisy Ridley, Carrie Fisher, Lupita Nyong'o, Gwendoline Christie, Maisie Richardson-Sellers, Jessica Henwick, Crystal Clarke, Leanne Best, Anna Brewster, hian, Harriet Walter, Daniel Craig, Ewan McGregor, Frank Oz, Alec Guinness, Bill Hader, Ben Schwartz","Daisy Ridley, Carrie Fisher, Lupita Nyong'o, Gwendoline Christie, Maisie Richardson-Sellers, Jessica Henwick, Crystal Clarke, Leanne Best, Anna Brewster, ","Bon+. Quel ennui ! On prend les mêmes en plus vieux, et on leur fait faire à peu près la même chose... quelle avenir aurait un tel cinéma si la presse, qui n’a aucune indépendance de vue, ne servait la soupe à la production en se substituant aux attachés de presse ? ",Lawrence Kasdan + J. J. Abrams + Michael Arndt
Valse de Paris (La) ,,ACHARD Marcel,1949 / F, / Lux,com. mus.,"Pierre Fresnay, Jacques Charon, Jacques Castelot, Pierre Dux, Lucien Nat, Robert Manuel, André Roussin, Jacques Dynam, Claude Sainval, Gabriel Gobin, Bernard Farrell, Alexandre Astruc, Jacques Dynam, Jean Hébey, Max Dalban, Michel Salina, Pierre Juvenet, Jean Barrère, Jacques Berlioz, Marcel Rouzé, Jo Davray, Georges Pally, Bernard Imbaud,","Yvonne Printemps, Denise Provence, Noëlle Norman, Raymonde Allain, Léa Gray, Renée Sénac, Lisette Lebon, Caroline Carlotti, Patricia Solair, Sylviane Aladin, Josée ARiel, Christine Reygnault, Liliane Robert, ",BonB.,M. Achard
Homme des Folies-Bergères (L'),,ACHARD Marcel + DEL RUTH Roy,1935 / F, / 20th Century,com. mus.,"Maurice Chevalier, Fernand Ledoux, André Berley, Jacques Louvigny, Ferdinand Gottschalk, Georges Renavent, André Cheron, Ramsay Hill, Jules Raucourt, ","Natalie Paley, Sim-Viva, Barbara Leonard, Pauline Garon, Marcelle Corday, ",?. Version américaine tournée en même temps.,Marcel Achard
M comme Matthieu,,ADAM Jean-François,1970 / F, / Films du Quadrangle,com. dr.,"Samy Frey, Roland Dubillard, ","Brigitte Fossey, Bulle Ogier,",B.TB.,J.-F. Adam
Show of shows (The),,ADOLFI John G.,1929 / USA, / WR (Darryl F. Zanuck),com. mus.,"Frank Fay, William Courtenay, H. B. Warner, Hobart Bosworth, Monte Blue, Ben Turpin, Heinie Conklin, Lupino Lane, Lee Moran, Bert Roach, Lloydf Hamilton, Chester Morris, Jack Mulhall, Noah Beery, Tully Marshall, Jack Curtis, Georges Carpentier, Richard Barthelmess, Bull Montana, Nick Lucas, Douglas Fairbanks Jr., Chester Conklin, Grant Withers, William Collier Jr., William Bakewell, John Barrymore, Lionel Barrymore, Anthony Bushell, Alexander Gray, Rin Tin Tin, ","Myrna Loy, Alice Day, Dolores Costello, Helene Costello, Loretta Young, Lois Wilson, Betty Compson, ","Bon. Laborieux et terriblement daté, mais intéressant à cet égard. Les numéros de troupe sont sans intérêt, hormis quelques prémisses Berkeleyens, et les skecthes de liaison épouvantables, mais on regarde le tout comme un document d'époque, admirant au passage quelques danseurs impressionnants d'habileté.",J. Keirn Brennan + Frank Fay
Millionaire (The),Millionaire (Le),ADOLPHI John G.,1931 / USA,WR (John G. Adilfi),com.,"George Arliss, David Manners, James Cagney, Bramwell Fletcher, Noah Berry, Ivan F. Simpson, J. C. Nugent, Sam Hardy, J. Farrell MacDonald, Charley Grapewin, Charles E. Evans, Tully Marshall, ","Florence Arliss, Evalyn Knapp, Ethel Griffies, ","Bon+.B-. Une comédie qui porte allègrement le poids de ses années en affichant une décontraction et une légèreté plaisante sur un scenario typique de l’époque, nous présentant un capitaliste “positif” et naïf. Arliss a une grande discrétion dans son comique et s’en sort habilement. Vieillot et totalement anachronique, mais une vieillerie sympathique.",Julien Josephson + Booth Tarkington
Working man (The),Roi de la chaussure (Le),ADOLPHI John G.,1933 / USA,WR (Jack L. Warner),com.,"George Arliss, Hardie Albright, Theodore Newton, Gordon Wescott, J. Farrell MacDonald, Charles Evans, Frederick Burton, Edward Van Sloan, Pat Wing, Harold Minjir, Douglas Dumbrille, ","Bette Davis, Claire McDowell, Ruthelma Stevens, ","Bon+. Petite comédie sympathique dans un ton assez pré-Capraien, intéressante pour le volontarisme entrepreneurial revendiqué dont elle fait preuve dans cette période de récession. Réalisation et interprétation sont mineurs et datés, mais efficaces.",Charles Kenyon + Maude T. Howell
Hell's crossroads,Carrefour de la vengeance (Le),ADREON Franklin,1957 / USA,3 / Republic (Rudy Ralston),western,"Stephen McNally, Robert Vaughn, Barton McLane, Harry Shannon, Henry Brandon, Douglas Kennedy, Grant Withers, Myron Healey, Frank Wilcox, Morris Ankrum, ","Peggie Castle, Jean Howell, ","Bon+. Une version sans prétention de la fin du gang James (ce que ne laisse pas deviner le titre !?!), qui prend certes des libertés avec l'histoire, mais recèle quelques qualités : bonne réalisation par moments (dès le hold-up de départ, d'ailleurs), intensité dramatique à d'autres, bonne direction d'acteurs, personnage de McNally en quête de rédemption, et du père de Bob Ford, bonne utilisation des paysages habituellement lassants de l'Iverson Ranch. ",John K. Butler + Barry Shipman
Gone Baby Gone,,AFFLECK Ben,2007 / USA, / LivePlanet -Miramax - Ladd Co.d (Sean Bailey + Alan Ladd Jr.),pol.,"Casey Affleck, Morgan Freeman, Ed Harris, John Ashton, Titus Welliver, Michael Kenneth Williams, Edi Gathegi, Mark Margolis, Slaine, Trudi Goodman, Matthew Maher, Sean Malone, Brian Scannell, Jay Giannone, William Lee, ","Michelle Monaghan, Amy Ryan, Amy Madigan, Madeline O'Brien, Jill Quigg, ","TB. Un récit pathétique, dont une des phrases fortes propose :“My priest says shame is God telling you what you did was wrong”. Dès la séquence générique, on sent un regard lucide mais compatissant sur le monde, d’une douceur qui n’empêche pas la cruauté et le réalisme. Très beau scenario d’après l’auteur de “Mystic river” (réalisé par C. Eastwood en 2003), belle mise en scène, personnages remarquablement campés et interprétés, Affleck en tête, avec son rythme propre. Un remarquable premier film !",Ben Affleck + Aaron Stockard
Town (The),,AFFLECK Ben,2010 / USA, / WR / Legendary Pict. - GK Films - Thunder Road (Basil Iwanyck + Graham King),pol.,"Ben Affleck, Jon Hamm, Jeremy Renner, Slaine, Owen Burke, Titus Welliver, Pete Postlethwaite, Chris Cooper, Dennis McLaughlin, Brian Scanell, Tony V, ","Rebecca Hall, Blake Lively, ","B-. Un travail de réalisation intéressant de la part d'Affleck, sur un script un peu trop dans le sens du vent actuel, violent, noir, au scenario et au dialogue un peu trop malin. Les comédiens se donnent tous des allures, celles issues et transformées des postures que Brando/Newman et consorts ont mis à jour avec beaucoup plus de talent à leur époque. Long au final, avec une fin alternative plus logique que celle du premier montage.",Peter Craig + Ben Affleck + Aaron Stockard
Live by night,,AFFLECK Ben,2010 / USA, / Appian Way - Pearl Street Films - RatPac-Dune Ent. (Leonardo DI Caprio + Jennifer Davisson + Jennifer Todd + Ben Affleck),pol.,"Ben Affleck, Brendan Gleeson, Anthony Michael Hall, Titus Welliver, Chris Messina, Derek Mears, Chris Cooper, Max Casella, Robert Glenister, Chris Sullivan, Kristen Annese, J.D. Evermore, Tom Virtue, Matthew Maher, Bruno Amato, Shawn Contois, John Bishop, Michael Chieffo, Larry Eudene, Benny Ciaramello, Michael Mantell, Andrew Bongiorno, Austin Swift, Mark Burzenski, 
","Zoe Saldana, Elle Fanning, Sienna Miller, Katie O'Malley, Lexie Roth, Lucy Angelo","Bon+. Difficile de reconstituer une époque, un contexte historique, des moeurs et des personnages à 100 ans d’écart, et il faut bien admettre qu’un scénariste de maintenant veuille se démarquer des moeurs et usages de cette époque pour nous servir un plat au goût du jour. Malheureusement, c’est ici Affleck qui se sert les plats, et le sentiment qui domine est la conscience de soi qu’ont le scénariste, le réalisateur et le héros (le même en l’occurence !). Le rythme est lent, à la limite du pompeux, et s’il y a quelques beaux moments, assez bien écrits, plus une ou deux bonnes séquences d’action (incontournables, non !?!), on s’ennuie avec une relative distinction en espérant que tout s’active !",Ben Affleck
Rue du Bac,,AGHION Gabriel,1990 / F, / Sara Films - C+ - CNC - Fondation GAN (Alain Sarde),com. dr.,"Frédérique Constant, Vincent Vallier (=), Dumitru Furdui, Facundo Bo, ","Geneviève Bujold, Françoise Brion, Edith Scob, Svéva Aghion, Diane Doniol-Valcroze, Susannah Kenton, Sophie Meriem, Céline Samie, Marucha Bo, ",Bon.,Gabriel Aghion + Yves Dangerfield
"Jag, en kvinna","Moi, une femme",AHLBERG Mac,1965 / Suède, / (Peer Gulbrandsen + Fritz Ruzicka),com. dr.,"Jorgen Reenberg, Preben Mahrt, Erik Hell, Preben Korning, Bengt Brunskog, Frankie Steel, Wandy Tworek, ","Essy Person, Tove Maës, Ebba With, ",Bon.,Peer Guldbransen
Nana,Poupée d'amour (La) ou Nana 70,AHLBERG Mac,1971 / Suède - F, / ,com. dr.,"Lars Lunoe, Keve Hjelm, Gérard Berner, Rikki Septimus, Hans Ernback, Poul Glargaard, Fritz Ruzicka, Willy Peters, Peter Bonke, ","Anna Gaël, Gillian Hills, Helli Louise, Yvonne Ekman, Bonnie Evans, ",BonB.,Mac Ahlberg + Tore Sjöberg
News from home,,AKERMAN Chantal,1977 / F, / INA - Paradise films - Unité 3 (Alain Dahan),dr.,,voix de Chantal Akerman,BonB.,Chantal Akerman
Couch in New-York (A),Divan à New-York (Un),AKERMAN Chantal,1996 / F-D-B, / Films Balenciaga - Babelsbergh Film - FR2 - M6 - PolygramRégine Konckier + Jean-Luc Ormières,com.,"William Hurt, Paul Guilfoyle, Richard Jenkins, Kent Broadhurst, Henry Bean, Bernard Breuse, Adam Le Fèvre, Boris Leskin, Jerry Dean, David Lowmax, Jean-Baptiste Filleau, Lysako Karunga, Blaie Chakir, Bruce Katzman, Michael McCormick","Juliette Binoche, Stephanie Buttle, Barbara Garrick, Tiffany Frazer, Wendy Way, ","TB. Un détournement très sensible, intelligent et drôle de la comédie sentimentale qui fit les grandes heures d'Hollywood. Un scenario subtil, qui met cul par dessus tête la psychanalyse, provoque de manière charmante, émeut intelligemment, et est emporté par un couple charismatique. La réalisation est brillante, avec de longs travellings intelligents, superbement dialogués. Un vrai plaisir. ",Chantal Akerman + Jean-Louis Benoît
Demain on déménage,,AKERMAN Chantal,2004 / F - B, / Paradise - Gemini - Arte - RTBF,"com., com. mus.","Jean-Pierre Marielle, Lucas Delvaux, Gilles Privat, Christian Hecq, Olivier Ythier, Georges Siatidis, Nicolas Majois, Emmanuel Clarke, ","Sylvie Testud, Aurore Clément, Natacha Régnier, Dominique Reymond, Elsa Zylberstein, Anne Coesens, Laetitia Reva, Valérie Bauchau, Catherine Aymerie, ","Bon+. Une comédie qui se veut douce-amère et sautillante, mais qui reste finalement froide et purement intellectualisée. On est malheureusement loin de la douceur drôle et du ton à l'américaine de ""Un divan à New-York"", qui mettaient en joie. Clément se prend pour Seyrig, et seuls Testud, Régnier et Marielle apportent une présence humaine au récit.",Chantal Akerman + Éric de Kuyper
Coeur fou (Le),,ALBICOCCO Jean-Gabriel,,,,,,,
Fille aux yeux d'or (La),,ALBICOCCO Jean-Gabriel,1960 / F,,,,,,
Rat d'Amérique (Le),,ALBICOCCO Jean-Gabriel,1961 / F,,,,,,
Le petit matin,,ALBICOCCO Jean-Gabriel,1970 / F, / Nawa Films Prod.-Pathé Sirius,dr.,"Mathieu Carrière, Jean Vilar, Jacques Marin, Christian Balthauss, Jean-Jacques Ruysdael, André Dumas, Pierre Londiche, Serge Spira, Jean-François Jaubert, Jose Belkan, Franz Sauer, Nicolas Vogel, Jean Franval, Gabriel Gobin, Christian Melsen, Rolph Spath, Oskar Freitag, Tony Roedel, ","Catherine Jourdan, Madeleine Robinson, Colette Régis, Christine Audhuy, Margo Lion, Annick Alane, Maryse Martin, ",Bon.,J.G. Albicocco + Pierre Kast
Fire down below,Menace toxique,ALCALÁ Felix Enriquez,1997 / USA, / WR (Steven Seagal + Julius R. Nasso),av.,"Steven Seagal, Kris Kristofferson, Harry Dean Stanton, Stephen Lang, Brad Hunt, Levon Helm, Robert Ridgely, Mark Collie, Alex Harvey, Ed Bruce, Richard Masur, Michael Krawic, Clay Jeter, Newell Alexander, John Diehl, Michael Mattison, Dennis Letts, Petrice Jordan, John Frosky, Scott L. Schwartz, Rick Johnson, Andy Stahl, Joe Basile, ","Marg Helgenberger, Amelia Neighbors, Yvonne Pollard, Peggy Lynn, Patsy Lynn, Melodie Past, Gina Mari, Lana Vassie, ","Bon+. Comme souvent avec les films contrôlés par Seagal, on se demande si la lenteur est un effet recherché ou une inconscience du scénariste et du producteur. Mais le réalisme, la vitesse et la précision des combats, tellement différents de ce qu'on voit avec Stallone, Van Damme ou autres Schwarzennegger, rachètent un peu les faiblesses du reste.",Jeb Stuart + Philip Morton
Out of Rosenheim,Bagdad café,ALDON Percy,1987 / D, / Percy + Eleonore Aldon,com. dr.,"Jack Palance, Darron Flagg, George Aguiar, G. Smokey Campbell, Hans Stadlbauer, Alan S. Craig, Ronald Lee Jarvis, Ray Young, Gary Lee Davis, ","Marianne Sägebrecht, CCH Pounder, Christine KAUFMANN, Monica Calhoun, ","Bon+B. Photo très ampoulée, ambiance eau de fleur d'oranger...",Percy & Eleonore Aldon + Christopher Doherty
Apache,Bronco Apache,ALDRICH Robert,1954 / USA,3 / AA / Hecht-Lancaster,western,"Burt Lancaster, John McIntire, John Dehner, Charles Bronson, Monte Blue, Paul Guilfoyle, Ian MacDonald, Morris Ankuum, Walter Sande, ","Jean Peters, ","TB.Exc.puis B. Un faux rythme qui nuit à l'intérêt, une réalisation peu assurée sur une thématique un brin simpliste (comme souvent dans le western pro-indien de cette période), une symbolique assez lourde (l'enfant-le maïs, etc.), tout ça pour une oeuvre encore mal assurée, mais dont le mise en perspective avec le “Vera Cruz” de la même année offre un bon résumé des manières et des thèmes à venir d'Aldrich. _x0015_Alex",James R. Webb
World for Ransom,Alerte à Singapour,ALDRICH Robert,1954 / USA,2 / Plaza Prod. (R. Aldrich + Bernard Tabakin),pol. esp.,"Dan Duryea (Mike Callahan / Corrigan), Gene Lockhart (Alexis Pederas), Patric Knowles (Julian March), Reginald Denny (Major Ian Bone), Nigel Bruce (Governor Sir Charles Coutts), Arthur Shields (Professor Sean O'Connor, atomic scientist), Douglass Dumbrille (Inspector McCollum), Keye Luke (Lee Wong, photographer), Clarence Lung (Johnny Chan), Lou Nova (Guzik), Patrick Allen (soldier), Spencer Chan (club patron), Herschel Graham (club patron), Stuart Hall (military officer), George Hoagland (soldier), Gustave Lax (club patron), Strother Martin (Corporal), Beal Wong (bartender Wu)","Marian Carr (Frennessey March), Carmen D'Antonio (dancer Ming Toy), ",Bon. _x0015_Faux exotisme et situations primaires. Duryea joue quelquefois faux ; mais le personnage a toujours été “oblique”... c’est tout son génie.,Lindsay Hardy+ Hugo Butler
Vera Cruz,Vera Cruz,ALDRICH Robert,1954 / USA,3 / Hetch-lancaster (James Hill),western,"Gary Cooper, Burt Lancaster, Cesar Romero, Ernest Borgnine, Jack Elam, Charles Bronson, Jack Lambert, George MacReady, Morris Ankrum, Henry Brandon, Archie Savage, James Mc Callion, Charles Horwath, Juan Garcia, James Seay, Bob Morgan, Jose Torvay, _x0015_Alex","Sarita Montiel, Denise Darcel, ",Génial puis B.,Roland Kibbee + James R. Webb
Big knife (The),Grand couteau (Le),ALDRICH Robert,1955 / USA,2 / AA - Associates and Aldrich,dr.,"Jack Palance, Rod Steiger, Wendell Corey, Everett Sloane, Strother Martin, Wesley Addy, Paul Langton, Nick Dennis, Bill Walker, Mike Winkelman, Mel Welles, Robert Sherman, Ralph Volke, Michael Fox, ","Ida Lupino, Shelley Winters, Jean Hagen, Ilka Chase, ",Exc puis TB.,James Poe
Kiss me deadly,En quatrième vitesse,ALDRICH Robert,1955 / USA,4 / Parklane Prod. (Victor Saville),pol.,"Ralph Meeker, Albert Dekker, Paul Stewart, Jack Elam, Jack Lambert, Wesley Addy, Strother Martin, Fortunio Bonanova, Juano Hernandez, Nick Dennis, Percy Helton, Strother Martin, Jerry Zinneman, James Seay, Robert Cornthwaith, James Mc Callian, Mort Marshall, Art Loggins, Silvio Minciotti, Bob Sherman, Keith Mc Connell, Paul Richards, Eddie Beal, Mort Marshall, Art Loggins, Bob Sherman, ","Laxime Cooper, Gaby Rodgers, Marian Carr, Cloris Leachman, Leigh Snowden, Madi Comfort, Mara Mc Afee, Jesslyn Fax, Marjorie Bennett, ","TB.Exc. puis B+TB-. Un film dont la violence reste intacte après 50 ans, remarquablement en prise avec la transformation de la société d'alors. Le découpage traîne un peu par moments, pour s'accélérer par à-coups, tel Hammer conduisant ses roadsters, et les personnages sont souvent à la limite de la caricature, comme souvent chez Aldrich. Mais la mise en scène est âpre, culottée, novatrice et inventive, et le thème lourd de sous-entendus très en avance sur le temps. _x0015_
Alex.",Al Bezzerides
Autumn leaves,Feuilles d'automne,ALDRICH Robert,1955 / USA,2 / COL (William Goetz Prod.),dr.,"Cliff Robertson, Lorne Green, Shepperd Strudwick, Maurice Manson, Selmer Jackson, Frank Gerstle, Leonard Mudie, Bob Hopkins, ","Joan Crawford, Vera Miles, Ruth Donnelly, Marjorie Bennett, Selma Jackson, Maxime Cooper, ",TB. puis B.,Jack Jevne+ Lewis Meltzer + Robert Blees
Attack !,Attaque,ALDRICH Robert,1956 / USA,2 / AA - R. Aldrich (R. Aldrich + Walter Blake),gu.,"Jack Palance, Eddie Albert, Lee Marvin, Robert Strauss, Richard Jaeckel, Buddy Ebsen, Peter Van Eyck, William Smithers, Strother Martin, Steven Geray, Ron McNeill, Jimmy Goodwin, Judson Taylor, Louis Mercier, ",,"TB. Un récit théâtral, où l'intervention d'Aldrich n'a certainement pas, comme souvent, ajouté de la subtilité. Mais le drame est terrible et on n'ose pas imaginer ce qu'il aurait pu donner avec un héros moins brûlant et tourmenté que Palance, qui dévore le film et imprime sa marque. Belles séquences de guerre, fortement réalisées.",James Poe
Angry hills (The),Trahison à Athènes,ALDRICH Robert,1959 / USA, / Raymond Stross (R. Stross Prod.),esp.,"Robert Mitchum (reporter Mike Morrison), Stanley Baker (Conrad Heisler), Theodore Bikel (Dimitrios Tassos), Sebastian Cabot (pawn broker Chesney), Peter Illing (Leonides, Eleftheria's uncle), Leslie Phillips (Ray Taylor), Donald Wolfit (Doctor Stergion), Marius Goring (Colonel Elrick Oberg), Kieron Moore (Andreas, Eleftheria's brother), George Pastell (Papa Panos), Patrick Jordan (Private Bluey Ferguson), Stanley Van Beers (tavern proprietor), George Eugeniou (unknown), Alec Mango (Phillibos), Kostas Gousgounis (agent)","Elisabeth Muller (Lisa Kyriakides), Gia Scala (Eleftheria), Jocelyn Lane (Maria Tassos), Marita Constantinou (Cleopatra), ","B puis B-. La lutte des résistants grecs face aux Nazis en 1942 n'a inspiré à Bezzerides qu'un scénario bavard, mal construit et très fumeux. Le tout reste improbable et sans intérêt, et la Grèce reste bien invisible.",A. l. Bezzerides
Ten seconds to Hell,Attaque,ALDRICH Robert,1959 / USA - UK, / Hammer Films - Seven Arts (R. Aldrich + Michael Carreras),gu.,"Jack Palance, Jeff Chandler, Martine Carol, Robert Cornthwait, Dave Willock, Wesley Addy, Jimmy Goodwin, Virginia Baker, Richard Wattis Nancy Lee Jim Hutton, Charles Nolte, ",,"B-. Les mêmes remarques que pour ‘Attack” peuvent s’appliquer avec ensuite quelques nuances : “Un récit théâtral, où l'intervention d'Aldrich n'a certainement pas, comme souvent, ajouté de la subtilité. Mais le drame est terrible et on n'ose pas imaginer ce qu'il aurait pu donner avec un héros moins brûlant et tourmenté que Palance, qui dévore le film et imprime sa marque”. Ces aventures de 6 anciens “résistants” allemands condamnés à déminer et qui disparaissent les uns après les autres sont assez poignantes, et correspondent probablement à l’atmosphère sidérante de l’époque, mais Aldrich ne fait pas dans la dentelle, surtout dans les relations entre les personnages. Chandler, dans un contre-emploi, est quai-libéré dans son jeu et nous sort une belle interpétation ; Palance, toujours sidérant, en fait peut-etre un peu trop, mais quelle gueule !!!",Robert Aldrich + Teddi Sherman
Last sunset (The),El Perdido,ALDRICH Robert,1961 / USA,3 / Eugène Frenke + Edward Lewis (Bryna Prod. = K. Douglas),western,"Kirk Douglas, Rock Hudson, Joseph Cotten, Neville Brand, Jack Elam, Adam Williams, Regis Toomey, Rad Fulton, John Shay, George Trevino, Peter Virgo, Jose Frowne, Manuel Vergara, ","Dorothy Malone, Carole Linley, Margarito de Luna, Chihuahua",B.TB.,Dalton Trumbo
Four for Texas,Quatre du Texas,ALDRICH Robert,1963 / USA,2 / R. Aldrich (SAM Prod. = Sinatra-Martin-Aldrich),western,"Dean Martin, Frank Sinatra, Victor Buono, Richard Jaekel, Jack Elam, Percy Helton, Wesley Addy, Jack Lambert, Edric Connor, Nick Dennis, Percy Helton, les Three Stooges, Paul Langon, Jonathan Hale, Fritz Feld, ","Ursula Andress, Anita Ekberg, Marjorie Bennett, Jesslyn Fax, ",Bon.,Teddi Sherman + R. Aldrich
What ever happened to Baby Jane?,Qu'est-il arrivé à Baby Jane?,ALDRICH Robert,1963 / USA, / WR - Seven Arts + Aldrich Prod.,dr.,"Victor Buono, Wesley Addy, Bert Freed, Dave Willock, ","Bette Davis, Joan Crawford, Anna Lee, Julie Allred, Marbara Merrill, Gina Gillepsie, Ann Barton, ",B.,Lukas Heller
"Hush, Hush, sweet Charlotte","Chut, chut chère Charlotte",ALDRICH Robert,1965 / USA, / Fox (Aldrich + Associates Prod.),dr.,"Joseph Cotten, Cecil Kellaway, William Campbell, Victor Buono, Wesley Addy, Frank Ferguson, Bruce Dern, George Kennedy, Percy Helton, John Megna, Idell James, Teddy Buckner et son All Stars","Bette Davis, Olivia de Havilland, Agnès Moorehead, Mary Astor, Ellen Corby, Helen Kleeb, Marianne Stewart, Mary Henderson, Lilian Randolph, Geraldine West, ",B.,Henry Farrell+ Lukas Keller
Flight of the Phoenix (The),Vol du Phoenix (Le),ALDRICH Robert,1965 / USA,2 / Fox (R. Aldrich),av.,"James Stewart, Richard Attenborough, Hardy Kruger, Peter Finch, Christian Marquand, Dan Duryea, Ian Banner, Ronald Fraser, George Kennedy, Gabreille Tinti, Alex Montoya, Peter Bravos, William Aldrich, ","Barrie Chase, ","TB. Au-delà du relatif mais sympathique intérêt du scenario, la réalisation est absolument impeccable, à part quelques coups de zoom hasardeux, bien dans l'époque. Très bonne direction d'acteurs (Attenborough entre autres), dans un film d'hommes qui ne tombe pas trop dans la caricature.",Lukas Heller
Dirty dozen (The),Douze salopards (Les),ALDRICH Robert,1967 / USA,2 / MGM (Kenneth Hyman + Raymond Anzarut),gu.,"Lee Marvin, Charles Bronson, Ernest Borgnine, Jim Brown, John Cassavetes, Richard Jaeckel, George Kennedy, Robert Ryan, Clint Walker, Trini Lopez, Ralph Meeker, Telly Savalas, Robert Webber, Donald Sutherland, Ben Carruthers, Robert Phillips, Colin Maitland, Al Mancini, Tom Busby, George Roubicek, Thick Wilson, ","Dora Reisser, ",Bon+B.,Nunnally Johnson + Lukas Heller
Legend of Lylah Clare (The),Démon des femmes (Le),ALDRICH Robert,1968 / USA, / MGM (R. Aldrich),dr.,"Peter Finch, Ernest Borgnine, Milton Selzer, Gabriele Tinti, Michael Murphy, Nick Dennis, George Kennedy, Dave Willcock, Robert Ellenstein, James Lanphier, Peter Bravos, Hal Maguire, Dan Borzage, Michael Fox, William Aldrich, ","Kim Novak, Rosella Falk, Valentina Cortese, Jean Caroll, Ellen Corby Lee Meriwether, Queenie Smith, ",Bon+.,Hugo Butler + Jean Rouverol
Killing of sister George (The),Faut-il tuer Sister George ?,ALDRICH Robert,1968 / USA, / R. Aldrich,dr.,"Ronald Fraser, Hugh Paddick, Cyril Delevante, Brendan Dillon, William Beckley, Jack Adams, Jack Raine, ","Beryl Reid, Susannah York, Coral Browne, Patricia Medina, Sivi Aberg, Elaine Church, Cicely Walper, Maggie Paige, ",TB.,Lukas Heller
Too late for heroes,Trop tard pour les héros,ALDRICH Robert,1970 / USA, / R. Aldrich,gu.,"Cliff Robertson, Michael Caine, Henry Fonda, Ian Bannen, Harry Andrews, Denholm Elliott, Ronald Fraser, Lance Percival, Percy Herbert, Sean Mac Duff, Michael J. Parsons, Harvey Jason, Martin Horsey, William Beckley, Ken Takanura, Don Knight, Roger Newman, ",,B.,R. Aldrich + Lukas Heller
Grissom gang (The),Pas d'orchidées pour Miss Blandish,ALDRICH Robert,1971 / USA, / R. Aldrich,pol.,"Scott Wilson, Tony Musante, Robert Lansing, Wesley Addy, Matt Clark, Joey Faye, Don Keefer, Dotts Johnson, Mort Marshall, Michael Baselon, Ralph Waite, Hal Baylor, Alvin Hammer, Alex Wilson, Dave Willock, Elliot Street, John Steadman, Raymond Guth, ","Kim Darby, Connie Stevens, Irene Dailey",TB.Exc.,Leon Griffiths
